target_field,source_field,target_datatype,tgt_nullable,is_primary_key,pk_position,active_flag,target_table
product_name,product_name,VARCHAR(300),1,0,,1,phones_validated
product_url,product_url,VARCHAR(1000),1,0,,1,phones_validated
image_url,image_url,VARCHAR(1000),1,0,,1,phones_validated
price_current,price_current,"DECIMAL(12,0)",1,0,,1,phones_validated
price_original,price_original,"DECIMAL(12,0)",1,0,,1,phones_validated
price_gift,price_gift,"DECIMAL(12,0)",1,0,,1,phones_validated
discount_percent,discount_percent,INT,1,0,,1,phones_validated
promotion,promotion,TEXT,1,0,,1,phones_validated
installment,installment,TEXT,1,0,,1,phones_validated
screen_size,screen_size,VARCHAR(100),1,0,,1,phones_validated
screen_resolution,screen_resolution,VARCHAR(100),1,0,,1,phones_validated
ram,ram,VARCHAR(50),1,0,,1,phones_validated
rom,rom,VARCHAR(50),1,0,,1,phones_validated
variants,variants,TEXT,1,0,,1,phones_validated
rating,rating,"DECIMAL(3,2)",1,0,,1,phones_validated
sold_quantity,sold_quantity,VARCHAR(100),1,0,,1,phones_validated
source,source,VARCHAR(50),1,0,,1,phones_validated
data_id,data_id,VARCHAR(100),1,0,,1,phones_validated
